n,mean_difference,sd_difference,se_difference,ci95_low,ci95_high,dz,t,df,p_ttest,condition_id,condition_label,baseline_id,item,item_label,baseline_mean,condition_mean,sample,contrast
49,-0.591837,1.526411,0.218059,-1.030273,-0.153400,-0.387731,-2.714116,48,0.009203,C04,Function,C01,j_obligation,Obligation,5.714286,5.122449,attention_pass,Function
49,-0.387755,1.912855,0.273265,-0.937191,0.161681,-0.202710,-1.418971,48,0.162369,C04,Function,C01,j_treatment,Treatment,5.632653,5.244898,attention_pass,Function
49,-0.040816,2.198098,0.314014,-0.672184,0.590551,-0.018569,-0.129983,48,0.897123,C05,Self-ID uncertain,C01,j_identity,Identity,5.142857,5.102041,attention_pass,Self-ID uncertain
49,-0.551020,1.568721,0.224103,-1.001610,-0.100431,-0.351255,-2.458783,48,0.017598,C05,Self-ID uncertain,C01,j_likeness,Likeness,6.346939,5.795918,attention_pass,Self-ID uncertain
49,-0.877551,1.866733,0.266676,-1.413739,-0.341363,-0.470100,-3.290699,48,0.001878,C05,Self-ID uncertain,C01,j_relationship,Relationship,5.938776,5.061224,attention_pass,Self-ID uncertain
49,-0.938776,2.095712,0.299387,-1.540734,-0.336817,-0.447951,-3.135655,48,0.002925,C05,Self-ID uncertain,C01,j_obligation,Obligation,5.714286,4.775510,attention_pass,Self-ID uncertain
49,-0.530612,2.525718,0.360817,-1.256083,0.194859,-0.210084,-1.470586,48,0.147928,C05,Self-ID uncertain,C01,j_treatment,Treatment,5.632653,5.102041,attention_pass,Self-ID uncertain
49,-0.326531,1.830161,0.261452,-0.852214,0.199153,-0.178416,-1.248914,48,0.217753,C06,Transition,C01,j_identity,Identity,5.142857,4.816327,attention_pass,Transition
49,-0.326531,1.125236,0.160748,-0.649736,-0.003325,-0.290189,-2.031320,48,0.047780,C06,Transition,C01,j_likeness,Likeness,6.346939,6.020408,attention_pass,Transition
49,-0.428571,1.695582,0.242226,-0.915600,0.058457,-0.252758,-1.769303,48,0.083196,C06,Transition,C01,j_relationship,Relationship,5.938776,5.510204,attention_pass,Transition
49,-0.306122,1.722451,0.246064,-0.800868,0.188623,-0.177725,-1.244075,48,0.219513,C06,Transition,C01,j_obligation,Obligation,5.714286,5.408163,attention_pass,Transition
49,-0.122449,1.855540,0.265077,-0.655422,0.410524,-0.065991,-0.461937,48,0.646213,C06,Transition,C01,j_treatment,Treatment,5.632653,5.510204,attention_pass,Transition
49,-0.632653,2.324631,0.332090,-1.300365,0.035059,-0.272152,-1.905064,48,0.062772,A09,Self-denial anchor,C01,j_identity,Identity,5.142857,4.510204,attention_pass,Self-denial anchor
49,-0.795918,1.593994,0.227713,-1.253767,-0.338070,-0.499323,-3.495264,48,0.001030,A09,Self-denial anchor,C01,j_likeness,Likeness,6.346939,5.551020,attention_pass,Self-denial anchor
49,-1.326531,1.940659,0.277237,-1.883953,-0.769108,-0.683547,-4.784826,48,0.000017,A09,Self-denial anchor,C01,j_relationship,Relationship,5.938776,4.612245,attention_pass,Self-denial anchor
49,-1.551020,2.170457,0.310065,-2.174448,-0.927592,-0.714605,-5.002238,48,0.000008,A09,Self-denial anchor,C01,j_obligation,Obligation,5.714286,4.163265,attention_pass,Self-denial anchor
49,-1.428571,2.541325,0.363046,-2.158525,-0.698618,-0.562136,-3.934955,48,0.000268,A09,Self-denial anchor,C01,j_treatment,Treatment,5.632653,4.204082,attention_pass,Self-denial anchor
